timestamp,open,high,low,close,volume,atr,atr_pct,rolling_body,ema20,ema50,ema200,sma200,ema50_slope,ema20_slope,rsi,macd,macd_signal,macd_hist,adx,bb_mid,bb_upper,bb_lower,bb_width,atr_pct_rank,bb_width_rank,bbwp,swing_high_20,swing_low_20,range_pos,volume_sma20,bbwp_low_streak
2022-01-01 00:00:00+00:00,511.5,527.9,511.4,527.3,446171.541,,,,527.3,527.3,527.3,,,,50.0,0.0,0.0,0.0,,,,,,,,,,,0.9636363636363623,,0
2022-01-02 00:00:00+00:00,527.4,533.9,518.0,531.0,404475.541,,,,527.6523809523809,527.4450980392156,527.3368159203981,,,,50.0,0.29515669515672016,0.059031339031344034,0.23612535612537613,,,,,,,,,,,0.8176100628930829,,0
2022-01-03 00:00:00+00:00,531.0,532.8,510.0,511.9,663841.021,,,,526.1521541950112,526.8354863514032,527.1832157619862,,,,71.57738095238118,-1.0006055145656774,-0.15289603168806026,-0.847709482877617,,,,,,,,,,,0.0833333333333325,,0
2022-01-04 00:00:00+00:00,511.9,520.0,502.0,506.9,687436.638,,,,524.3186157002483,526.0537025729169,526.9813927195784,,-0.41543247569435,-0.9937947665838843,66.26748622297609,-2.403261314039696,-0.6029690881583875,-1.8002922258813085,,,,,,,,,,,0.272222222222221,,0
2022-01-05 00:00:00+00:00,506.9,516.0,457.0,474.1,985152.004,,,,519.5358903954627,524.0163024720182,526.4552097074433,,-1.1429318557324752,-2.705496852306055,43.4802841310258,-6.091344788681226,-1.7006442282629552,-4.390700560418271,,,,,,,,,,,0.28983050847457664,,0
2022-01-06 00:00:00+00:00,474.2,481.3,458.8,472.6,986669.9,,,,515.0658055958949,521.9999768848802,525.9193369740359,,-1.6118364888410117,-3.695449533038792,42.75619561189033,-9.031109963529389,-3.166737375316242,-5.864372588213147,,,,,,,,,,,0.6133333333333338,,0
2022-01-07 00:00:00+00:00,472.6,473.9,437.5,448.1,1331260.03,,,,508.68810982485724,519.1019385756692,525.1450152131002,,-2.3172546657492226,-5.210168625130355,33.06931416173569,-13.185842109481314,-5.170558322149256,-8.015283787332057,,,,,,,,,,,0.291208791208792,,0
2022-01-08 00:00:00+00:00,448.1,459.7,415.0,429.9,1062788.589,,,,501.18448031772795,515.6038233374077,524.19730361894,,-2.8041597115368404,-6.117136692578261,27.99521724156928,-17.742559977569215,-7.684958653233249,-10.057601324335966,,,,,,,,,,,0.3333333333333329,,0
2022-01-09 00:00:00+00:00,429.8,444.5,427.0,438.7,688777.347,,,,495.2335774303253,512.5879871280976,523.3465841799457,,-3.1373299189275485,-6.610742721856525,33.32253518330383,-20.408449361654448,-10.229656794917489,-10.17879256673696,,,,,,,,,,,0.6685714285714279,,0
2022-01-10 00:00:00+00:00,438.8,445.5,405.6,424.7,1221504.738,,,,488.5160938655324,509.1413993975839,522.365026128404,,-3.3201797260284516,-6.724005319774942,29.573802385550408,-23.381343330819107,-12.859994102097813,-10.521349228721293,,,,,,,,,,,0.478696741854636,,0
