timestamp,open,high,low,close,volume,atr,atr_pct,rolling_body,ema20,ema50,ema200,sma200,ema50_slope,ema20_slope,rsi,macd,macd_signal,macd_hist,adx,bb_mid,bb_upper,bb_lower,bb_width,atr_pct_rank,bb_width_rank,bbwp,swing_high_20,swing_low_20,range_pos,volume_sma20,bbwp_low_streak
2025-11-13 20:00:00+00:00,98682.13,100501.31,98000.4,99692.02,5962.05975,,,,99692.02,99692.02,99692.02,,,,50.0,0.0,0.0,0.0,,,,,,,,,,,0.6764017897485346,,0
2025-11-14 00:00:00+00:00,99692.03,99866.02,98700.0,99139.38,5839.81569,,,,99639.38761904763,99670.34784313726,99686.52109452737,,,,0.0,-44.085242165238014,-8.817048433047603,-35.26819373219041,,,,,,,,,,,0.376820294677624,,0
2025-11-14 04:00:00+00:00,99139.38,99178.58,95933.75,97151.98,11116.73192,,,,99402.4916553288,99571.58831987697,99661.30178015397,,,,0.0,-236.6615972272848,-54.38595819189504,-182.27563903538976,,,,,,,,,,,0.37543723399993073,,0
2025-11-14 08:00:00+00:00,97151.97,97553.7,95711.0,96167.44,5255.60132,,,,99094.39149767844,99438.09230733279,99626.5369863216,,-84.64256422240578,-199.2095007738535,0.0,-463.3823130482342,-136.1852291631629,-327.1970838850713,,,,,,,,,,,0.24770174200901018,,0
2025-11-14 12:00:00+00:00,96167.45,97322.35,94560.48,96796.14,14312.72078,,,,98875.51040266146,99334.4863344962,99598.37383222886,,-111.95383621368576,-254.62573879539073,6.652076262808961,-585.5790868333279,-226.0640006971959,-359.515086136132,,,,,,,,,,,0.8094732916466001,,0
2025-11-14 16:00:00+00:00,96796.14,97411.11,94800.55,95778.29,5605.64502,,,,98580.53703097941,99195.02765471204,99560.36304782856,,-125.52022172164288,-273.9848747831323,5.960749892476144,-755.840045362027,-332.0192096301621,-423.8208357318649,,,,,,,,,,,0.37453266732041846,,0
2025-11-14 20:00:00+00:00,95778.3,95940.0,94012.45,94594.0,5157.63008,,,,98200.8668375528,99014.59519766452,99510.94650008898,,-141.16570322275706,-297.84155337521224,5.273963071530872,-975.0950978234032,-460.63438726881037,-514.4607105545929,,,,,,,,,,,0.30170423594718787,,0
2025-11-15 00:00:00+00:00,94594.0,96846.68,94558.49,96417.12,4376.79077,,,,98030.9861863573,98912.73342520709,99480.16215680452,,-140.58430309637333,-281.5080721013849,20.465992576004197,-990.3298529105377,-566.5734803971559,-423.75637251338185,,,,,,,,,,,0.8122708341527584,,0
2025-11-15 04:00:00+00:00,96417.12,96570.65,95921.21,96333.86,2543.94362,,,,97869.35512098995,98811.6011340225,99448.85566768209,,-127.80884022985022,-237.06063666315458,20.305825622878388,-997.6219276607299,-652.7831698498708,-344.8387578108591,,,,,,,,,,,0.6353935698447923,,0
2025-11-15 08:00:00+00:00,96333.87,96350.52,95630.0,95696.87,2336.22638,,,,97662.45177613376,98689.45481504123,99411.52247695888,,-108.38012754109513,-179.4716871396813,19.07582768378336,-1042.7801978762873,-730.7825754551542,-311.9976224211331,,,,,,,,,,,0.09280797202020064,,0
2025-11-15 12:00:00+00:00,95696.86,96471.22,95565.17,96260.0,1987.28578,,,,97528.8849403115,98594.18207719647,99380.16404435234,,-106.1837826702055,-167.36708201526685,23.488207039531417,-1021.355022713251,-788.8970649067736,-232.45795780647734,,,,,,,,,,,0.7668782076044363,,0
2025-11-15 16:00:00+00:00,96259.99,96419.65,95731.32,96012.01,1880.65231,,,,97384.42066028184,98492.92042711034,99346.65007376176,,-106.2269023040523,-161.6448202360334,22.89614511261101,-1012.7122214007541,-833.6600962055697,-179.05212519518432,,,,,,,,,,,0.40778405706564147,,0
2025-11-15 20:00:00+00:00,96012.01,96012.01,95119.94,95596.24,1985.99505,,,,97214.117740255,98379.32511624327,99309.33256059,,-103.37656626598618,-149.44467862625606,21.899467974748063,-1027.5667534618842,-872.4414276568327,-155.1253258050515,,,,,,,,,,,0.5339267097873563,,0
2025-11-16 00:00:00+00:00,95596.23,95979.79,94841.62,95825.02,1896.67006,1666.9435714285698,0.01739570282822346,,97081.82271737358,98279.1562881553,99274.66278386772,,-105.008596347058,-149.02074097930745,23.863438546132684,-1009.2445007637725,-899.8020422782207,-109.44245848555181,,,,,,,,,,,0.8640185561032273,,0
2025-11-16 04:00:00+00:00,95825.02,96192.0,95650.72,96099.99,1279.33932,1526.969999999998,0.015889387709613685,,96988.31483952848,98193.69878665902,99243.07399994864,,-99.7405468171055,-132.03527358445476,26.263462976122113,-961.4531688690768,-912.1322675963919,-49.320901272684864,,,,,,,,,,,0.8300140407922056,,0
2025-11-16 08:00:00+00:00,96099.98,96635.11,95500.0,95627.13,2585.38054,1524.7621428571406,0.015944869859182646,,96858.67818814481,98093.04903031947,99207.0944576606,,-95.4253619746014,-118.47985070339443,24.81480702984004,-950.7741120413993,-919.8606364853935,-30.913475556005892,,,,,,,,,,,0.11199795614522345,,0
2025-11-16 12:00:00+00:00,95627.13,95900.0,94368.24,94573.46,2546.31874,1402.3999999999974,0.014828684495629083,,96641.03836070244,97955.02593109127,99160.9886421615,,-108.04345235467675,-146.92811889037935,21.91416042224712,-1015.6257443041541,-939.0136580491456,-76.61208625500842,,,,,,,,,,,0.13397660207865583,,0
2025-11-16 16:00:00+00:00,94573.46,95567.79,93770.48,94020.0,9045.25375,1399.1578571428545,0.014881491779864439,,96391.41565968316,97800.71118869554,99109.8345263191,,-130.99586598782722,-198.96639328177358,20.55500884415953,-1099.0120004153723,-971.013326522391,-127.99867389298129,,,,,,,,,,,0.13882969548937268,,0
2025-11-16 20:00:00+00:00,94020.49,94739.74,93005.55,94261.44,6536.44269,1325.7521428571397,0.014064628578315159,,96188.56083495144,97661.91624011924,99061.59179471394,,-143.71093006674104,-223.3724510644582,22.804290731370017,-1132.5585885319742,-1003.3223789243077,-129.23620960766652,,,,,,,,,,,0.7241940041171946,,0
2025-11-17 00:00:00+00:00,94261.45,95559.99,93767.27,95496.77,4124.53725,1267.334999999997,0.013270972410899312,759.7795000000006,96122.67599352749,97577.00854442829,99026.12093108495,,-126.00579555432584,-172.78745572498397,33.22193751837359,-1047.390034053169,-1012.1359099500801,-35.254124103089,,96076.958,98883.04887789664,93270.86712210336,0.05841339976431478,,,,100501.31,93005.55,0.9647351510553789,4818.752041,0
